current_x,current_y,v_lineal,w_lineal
0.6720688257866124,0.6685745756891424,0.15,[-0.00277161]
0.6755600837492245,0.672083376305668,0.15,[-0.00231258]
0.6790514181641686,0.6755917914460575,0.15,[-0.00188316]
0.6826468951959508,0.6792049924184377,0.15,[-0.00127051]
0.6861182247336008,0.6826916662273711,0.15,[0.00170065]
0.689579589558186,0.6861636380374123,0.15,[0.00608785]
0.6931757446880029,0.6897673575916728,0.15,[0.0065179]
0.6966701965944975,0.6932696638209263,0.15,[0.00549046]
0.7001643881358743,0.6967729387373065,0.15,[0.00440303]
0.7037647751644243,0.7003838227207512,0.15,[0.0035172]
0.7072597369636869,0.703889834967564,0.15,[0.00289527]
0.7107550265813423,0.7073967907343167,0.15,[0.00245005]
0.7143561017736901,0.7110103656158171,0.15,[0.00207837]
0.7178508413629343,0.7145176450153793,0.15,[0.00174445]
0.7213446684867765,0.7180245564879171,0.15,[0.00138739]
0.7249398230764913,0.7216343996325948,0.15,[0.00067958]
0.7284036176701247,0.725114058334673,0.15,[-0.00228882]
0.7318748294477839,0.7286044503605257,0.15,[-0.00428356]
0.7354708950514881,0.7322208523156273,0.15,[-0.00399658]
0.7389607561308852,0.735730012252807,0.15,[-0.00347117]
0.7424511771849082,0.7392391185008959,0.15,[-0.00300119]
0.7460478132031712,0.7428544698548643,0.15,[-0.00258197]
0.7495389515826801,0.7463632978405019,0.15,[-0.00220664]
0.7530299859546247,0.74987175012747,0.15,[-0.00182275]
0.7566232620577111,0.7534829292223525,0.15,[-0.00102882]
0.760087088141589,0.7569612569858473,0.15,[0.00256348]
0.7635551513557316,0.7604389373845103,0.15,[0.00582069]
0.7671553539838679,0.7640469571052965,0.15,[0.00558407]
0.7706497586633498,0.7675496851283771,0.15,[0.00470402]
0.7741441379870883,0.7710534610368451,0.15,[0.00388922]
0.7777448381467539,0.7746647625359034,0.15,[0.00323817]
0.7812400718648181,0.778170999524903,0.15,[0.00276773]
0.7847355265034291,0.7816779763029469,0.15,[0.00240735]
0.7883366687460017,0.7852914331847999,0.15,[0.00208083]
0.7918313819128215,0.7887985025350182,0.15,[0.00176761]
0.7953248943587203,0.7923051320770307,0.15,[0.00141058]
0.7989158780522674,0.795910772395606,0.15,[0.00040308]
0.8023747188846765,0.7993861598778685,0.15,[-0.00267778]
0.8058548369532297,0.8028857837271586,0.15,[-0.00368392]
0.8094498819785544,0.8065010657646986,0.15,[-0.00346049]
0.8129397383090095,0.8100101518986373,0.15,[-0.00308994]
0.816430117811125,0.8135192847124306,0.15,[-0.00274996]
0.8200266461499175,0.8171346939457175,0.15,[-0.00242536]
0.8235176303941162,0.8206435619882172,0.15,[-0.00211148]
0.8270082037075599,0.824151980228256,0.15,[-0.00175391]
0.8305970079184605,0.8277586817835298,0.15,[-0.00058132]
0.8340559328620526,0.8312311589270681,0.15,[0.00319329]
0.8375331908997175,0.8347172313945533,0.15,[0.00517032]
0.8411343869537784,0.8383266503577779,0.15,[0.00473761]
0.84462879975268,0.8418297794604933,0.15,[0.00406223]
0.848123420717151,0.8453339985517749,0.15,[0.00347295]
0.8517244154045222,0.8489456261655518,0.15,[0.00299919]
0.8552199127744657,0.8524520263737395,0.15,[0.00264436]
0.8587155052520397,0.8559589675728099,0.15,[0.0023512]
0.8623167068310146,0.8595722772069309,0.15,[0.00206586]
0.865811372098487,0.8630790902234157,0.15,[0.00177503]
0.8693043406693512,0.8665852122277109,0.15,[0.00141012]
0.8728886127416632,0.8701842210601974,0.15,[-7.48609151e-06]
0.8763477176656104,0.8736605652535935,0.15,[-0.002717]
0.8798341703447083,0.8771665022548998,0.15,[-0.00309383]
0.8834293370577906,0.8807816952185132,0.15,[-0.00289308]
0.8869192465182385,0.8842906875913533,0.15,[-0.00265261]
0.8904096013922045,0.8877997849721937,0.15,[-0.00242722]
0.8940060397379133,0.8914151913040343,0.15,[-0.00219324]
0.8974968525222072,0.8949240308583309,0.15,[-0.0019438]
0.9009866994169192,0.8984321149520403,0.15,[-0.00160161]
0.9045683131151242,0.9020312787702818,0.15,[9.69759201e-05]
0.9080270435438368,0.9055025017771002,0.15,[0.00350017]
0.9115132848227033,0.9089972326722124,0.15,[0.00437432]
0.9151137048080459,0.9126062645386673,0.15,[0.00400106]
0.9186082574237705,0.9161098653085953,0.15,[0.00352015]
0.9221031522538607,0.9196144890679263,0.15,[0.00310902]
0.9257044218387974,0.9232263852341153,0.15,[0.00277105]
0.9292001601841338,0.9267329088790662,0.15,[0.00250754]
0.9326958648166324,0.9302397776884763,0.15,[0.00227162]
0.9362971142776253,0.9338529185142965,0.15,[0.00202662]
0.9397916857664131,0.9373594317736343,0.15,[0.00176062]
0.9432835594737474,0.9408644961112436,0.15,[0.00136436]
0.9468596181977742,0.9444555163571272,0.15,[-0.00043388]
0.9503242932939782,0.9479380017176279,0.15,[-0.00242769]
0.9538137373984799,0.9514467048408012,0.15,[-0.00252314]
0.9574091971086676,0.955061958913753,0.15,[-0.00237963]
0.9608991527420516,0.9585708877476156,0.15,[-0.00224307]
0.9643894669992534,0.9620799569997834,0.15,[-0.00210494]
0.9679858056914535,0.9656953559658447,0.15,[-0.00194337]
0.9714763577780743,0.9692042413684575,0.15,[-0.00175051]
0.9749648707574127,0.9727112508119581,0.15,[-0.00137742]
0.9785382645856652,0.9763015151740059,0.15,[0.00077037]
0.9820013766733928,0.9797761563710513,0.15,[0.00341947]
0.9854934907599584,0.9832768666220771,0.15,[0.00363831]
